"chapter","question","choice_a","choice_b","choice_c","choice_d","choice_e","correct_answer","explanation"
"HW9","An undercomplete autoencoder is specifically constrained to learn salient features because:","The coding layer has fewer dimensions than the input and output layers.","Its cost function is based on the KL divergence from a prior distribution.","It uses tied weights to force the decoder to be more powerful than the coder.","The denoising process prevents it from learning linear transformations.","All of the Above.","The coding layer has fewer dimensions than the input and output layers.","By forcing information through a bottleneck narrower than the input, the autoencoder cannot memorize the data and must learn a compressed representation capturing the most important structure."
"HW9","What is the specific role of the latent loss (KL divergence) in a Variational Autoencoder (VAE) cost function?","It encourages the encoder to produce the highest possible latent variance.","It eliminates the need for a reconstruction loss during the generative step.","It ensures that the decoder is fully deterministic during the training phase.","It pushes the latent codings to follow a simple Gaussian distribution.","None of the Above.","It pushes the latent codings to follow a simple Gaussian distribution.","The KL divergence term penalizes the encoder's posterior q(z|x) for deviating from the standard normal prior N(0,I). This regularizes the latent space so that sampled points at inference produce valid, realistic outputs."
"HW9","Why do researchers prefer predicting the noise rather than the original image in diffusion models?","It leads to more stable training and simplifies the loss to an MSE term.","Noise prediction allows the model to use a purely deterministic decoder.","The original image has a Gaussian distribution that is too hard to model.","It allows the generator to skip the forward noising process during training.","None of the Above.","It leads to more stable training and simplifies the loss to an MSE term.","Predicting the original image directly leads to unstable training at early noisy timesteps. Predicting the noise epsilon added at each step yields a simple, well-conditioned MSE objective with consistent scale across all timesteps."
"HW9","What technical state is achieved in a GAN when it reaches its theoretical Nash Equilibrium?","The generator produces random noise that the discriminator rejects.","The discriminator accuracy reaches 100% on the entire training set.","The reconstruction error of the generator reaches its absolute minimum.","The discriminator is forced to guess with exactly a 50% success rate.","All of the Above.","The discriminator is forced to guess with exactly a 50% success rate.","At Nash Equilibrium the generator produces samples indistinguishable from real data. The discriminator can no longer tell them apart and outputs 0.5 (50%) for every sample — the optimal strategy for both players."
"HW9","Semantic interpolation in a VAE is performed by decoding points:","On pixel overlays of two images.","Along a line between latent codings.","Inside a VQ-VAE codebook.","At Nash equilibrium.","None of the Above.","Along a line between latent codings.","Because the VAE's latent space is continuous and regularized by the KL term, linear interpolation between two encoded points z1 and z2 produces a semantically smooth transition when decoded."
"HW9","According to DCGAN guidelines, what is the recommended activation strategy for stable convolutional GANs?","ReLU for the discriminator and Leaky ReLU for the generator output.","Sigmoid for all hidden layers to prevent gradients from exploding.","Tanh for the generator output and Leaky ReLU for the discriminator.","Softmax for the generator to ensure the latent codings are categorical.","None of the Above.","Tanh for the generator output and Leaky ReLU for the discriminator.","DCGAN recommends Tanh for the generator's final output layer (to match normalized image pixel ranges) and Leaky ReLU throughout the discriminator to prevent dead neurons and allow gradient flow for negative activations."
"HW9","What is the risk of making a stacked autoencoder too powerful during training?","It will become a generative model and produce too many random samples.","The reconstruction loss will become impossible to compute for deep layers.","It may map each input to an arbitrary number without learning patterns.","It will automatically perform PCA instead of learning nonlinear codings.","None of the Above.","It may map each input to an arbitrary number without learning patterns.","An overly powerful autoencoder can achieve near-zero reconstruction loss by simply learning a trivial identity function or arbitrary memorization, failing to extract any generalizable or meaningful latent representation."
"HW9","A simple linear autoencoder using MSE loss performs PCA because:","Gradient descent identifies the low-dimensional plane nearest to the data.","The encoder learnably maximizes the variance of the input data batch.","The ReLU activation function forces the network to learn eigenvectors.","The decoder is mathematically required to be a matrix inverse of the coder.","None of the Above.","Gradient descent identifies the low-dimensional plane nearest to the data.","It can be shown analytically that the weight matrices of a linear autoencoder trained with MSE span the same subspace as the top principal components — gradient descent finds the optimal low-dimensional linear projection."
"HW9","In the context of anomaly detection, an autoencoder is trained exclusively on normal data samples primarily so that:","It learns to label every incoming out-of-distribution sample as fake.","It will struggle to reconstruct data that deviates from known patterns.","The reconstruction loss remains constant regardless of the input data.","It can compute the Nash Equilibrium for every single input feature vector.","None of the Above.","It will struggle to reconstruct data that deviates from known patterns.","Trained only on normal data, the autoencoder learns to reconstruct normal patterns well. When an anomalous input is presented, the model cannot reconstruct it accurately, yielding a high reconstruction error that flags it as an anomaly."
"HW10","Deep Reinforcement Learning is technically defined as the combination of:","Markov Decision Processes and standard Principal Component Analysis.","Reinforcement learning principles and the power of deep learning models.","Policy Gradient methods and the brute-force policy search of robot angles.","Pavlovian conditioning and the curiosity hyperparameter of stable materials.","None of the Above.","Reinforcement learning principles and the power of deep learning models.","Deep RL fuses RL's trial-and-error reward-maximization framework with deep neural networks as function approximators, enabling agents to learn from high-dimensional inputs like raw pixels."
"HW10","In a K-armed bandit problem, the agent's goal is to:","Explore all states equally to find the highest reward.","Identify which lever yields the highest expected reward.","Build a full MDP model to determine the highest reward.","Predict the environment's dynamics to determine the highest reward.","All of the above.","Identify which lever yields the highest expected reward.","The K-armed bandit is a simplified RL problem with no state transitions. The agent must balance exploration of unknown levers against exploitation of the lever with the best known expected reward."
"HW10","Which statement best describes the Value Learning family of RL algorithms?","They aim to maximize the curiosity bonus to discover bumps and holes in the maze.","They focus on finding the Q-function to infer the optimal action at each state.","They require the state space to be continuous and the action space to be discrete.","They directly optimize the policy using a Gaussian distribution for actions.","They use a teacher model to provide the ground-truth action for every game frame.","They focus on finding the Q-function to infer the optimal action at each state.","Value learning algorithms (e.g., Q-learning, DQN) estimate the value of state-action pairs. Once the Q-function is learned, the optimal policy is derived by selecting the action with the highest Q-value."
"HW10","Which scenario best represents a reinforcement learning problem?","Classifying emails as spam or not.","A robot navigating a maze and receiving rewards.","Grouping documents into clusters.","Compressing images.","All of the Above.","A robot navigating a maze and receiving rewards.","RL involves an agent taking actions in an environment to maximize cumulative reward. A maze-navigating robot receives feedback (rewards/penalties) from the environment — a canonical RL setup."
"HW10","What does Learning without a Teacher imply for RL agents?","The agent can never improve its performance because there is no ground-truth label.","The agent is programmed with a fixed set of moves that guarantee it wins every game.","The agent uses a discriminator to determine if its actions are real or simulated fakes.","The agent learns through trial-and-error by receiving feedback from the environment.","The agent must be pretrained using a standard ImageNet supervised classification task.","The agent learns through trial-and-error by receiving feedback from the environment.","Unlike supervised learning, RL has no labeled dataset. The agent discovers what works by interacting with the environment and observing the resulting scalar reward signal."
"HW10","What characterizes Adaptive Value Estimation in RL algorithms?","It uses theoretical probabilities to update the estimated value of every state.","It updates estimates based on actually observed transitions and rewards received.","It adjusts the reward scalar based on the complexity of the procedurally generated task.","It uses a frozen neural network to identify the spatial boundaries of game patches.","All of the Above.","It updates estimates based on actually observed transitions and rewards received.","Adaptive value estimation methods like TD-learning update value estimates incrementally using real experience, blending the observed immediate reward with the current estimate of future returns."
"HW10","Why is the Credit Assignment Problem considered a primary bottleneck in training RL agents?","It is difficult to determine which specific actions in a sequence caused a delayed reward.","Neural networks are unable to calculate cross-entropy when rewards are sparse.","The agent is unable to perceive changes in the environment state after taking an action.","Rewards are always provided at every single timestep, leading to mathematical saturation.","Agents cannot receive any rewards until the environment reaches a terminal state.","It is difficult to determine which specific actions in a sequence caused a delayed reward.","When a reward arrives after many steps, it is unclear which earlier actions were responsible. This temporal gap between actions and consequences is the core credit assignment challenge in RL."
"HW10","Why is Q-Learning considered off-policy?","It never updates Q-values during training.","It learns an optimal policy even while following a different behavior policy.","It ignores future rewards entirely and only considers an alternate policy.","It trains only with expert demonstrations.","It uses no exploration and ignores using policies.","It learns an optimal policy even while following a different behavior policy.","Q-learning is off-policy because it updates Q-values using the greedy max over next-state actions, regardless of which action the behavior policy (e.g., epsilon-greedy) actually took."
"HW10","Which of the following is identified as a significant downside of Q-learning?","It is unable to model scenarios where the action space is discrete and relatively small.","It requires the agent to have perfect knowledge of environment transition probabilities.","It is computationally less efficient than running a brute-force policy search algorithm.","The policy is computed deterministically and cannot effectively learn stochastic policies.","All of the Above.","The policy is computed deterministically and cannot effectively learn stochastic policies.","Q-learning derives the policy as argmax over Q-values, which is inherently deterministic. This makes it ill-suited for problems requiring mixed strategies where randomized actions are optimal."
"HW10","In DQN training, the target Q-Value is computed from:","Immediate rewards and a random action from the next state.","Averaging all past Q-Values.","Reward plus discounted max Q-Value for next actions.","A manually defined policy.","All of the Above.","Reward plus discounted max Q-Value for next actions.","The DQN target follows the Bellman equation: target = r + gamma * max_a' Q(s', a'). This combines the observed reward with a discounted estimate of the best future value from the next state."
"HW10","Why did the DeepMind 2013 Atari demonstration represent a revolution in RL?","The model achieved 100% accuracy on Ms. Pac-Man, which has a massive state-action space.","All of the Above.","It proved that Policy Gradient methods are always superior to Value Learning algorithms.","It was the first time a program beat a world champion in a complex board game like Go.","The system learned from scratch using only raw pixels as input without prior rules.","The system learned from scratch using only raw pixels as input without prior rules.","DeepMind's DQN was groundbreaking because it used raw pixel inputs with no hand-crafted features, a single architecture across many games, and no domain-specific rules, demonstrating general-purpose deep RL."
"HW10","When defining the Q-function Q(s, a), what does the expression capture mathematically?","The absolute difference between the predicted reward and the ground-truth terminal reward.","The expected total future reward an agent receives by executing action a in state s.","The number of times a state-action pair has been visited to ensure adequate exploration.","The probability of the agent transitioning to state s' given the previous state-action pair.","The immediate reward received by the agent after executing action a in the current state s.","The expected total future reward an agent receives by executing action a in state s.","Q(s,a) is the action-value function: the expected sum of discounted future rewards starting from state s, taking action a, and then following the optimal policy thereafter."
"HW10","In Deep Q-Learning, why are deep neural networks used?","They reduce the need for exploration.","They compute exact state transitions.","They approximate Q-Values for large state spaces.","They guarantee convergence.","All of the above.","They approximate Q-Values for large state spaces.","In large or continuous state spaces, a Q-table is infeasible. A deep neural network with weights theta serves as a function approximator, mapping state (or state-action) inputs to Q-value outputs."
"HW10","The Exploration/Exploitation Dilemma is a core challenge that requires balancing:","Discovering new strategies with utilizing known actions that have been successful.","The speed of the agent's movements with the accuracy of the visual feature extraction.","The number of nodes to drop out in the convolutional layers with the number of fully connected layers in DQN.","The speed of learning versus stability of convergence.","None of the Above.","Discovering new strategies with utilizing known actions that have been successful.","An agent that only exploits will get stuck in local optima. One that only explores never capitalizes on what it has learned. Strategies like epsilon-greedy balance these competing objectives."
"HW10","How does the Running Average Mechanism assist in value estimation?","It forces the agent to take all the best actions to find the target return.","It eliminates the need for a discount factor by averaging rewards over time.","It combines immediate rewards with expected later rewards for each state.","It scales the pixels of the Atari game to a standard 16x16 patch sequence.","All of the Above.","It combines immediate rewards with expected later rewards for each state.","The running average blends the immediate reward with an estimate of future returns, allowing the agent to incrementally refine value estimates without replaying entire episodes from scratch."
"HW10","In reinforcement learning, what is a policy?","The reward function.","The environment's transition rule.","The algorithm that determines the agent's actions.","A table of all possible rewards.","All of the above.","The algorithm that determines the agent's actions.","A policy pi maps states to actions (or to a probability distribution over actions). It is the complete specification of how the agent behaves and is the central object RL algorithms aim to optimize."
"HW10","Which statement accurately describes the strategy of an optimal policy pi*(s)?","It chooses an action that maximizes the expected future reward from the current state.","It minimizes the cross-entropy between the current state and the predicted future state.","It selects a random action to ensure the exploration/exploitation dilemma is resolved.","It strictly follows the transition probabilities defined by the environment's MDP model.","It prioritizes states with the highest curiosity bonus to discover new game strategies.","It chooses an action that maximizes the expected future reward from the current state.","The optimal policy pi* selects the action that maximizes the Q-value Q*(s,a) in each state, thereby maximizing the expected cumulative discounted future reward from that point forward."
"HW10","What is the technical role of the Discount Factor gamma in calculating the total reward?","It weights immediate rewards more heavily than future rewards for mathematical stability.","It acts as a learning rate to determine how quickly the Q-values are updated in a batch.","It increases the value of future rewards to ensure the agent ignores immediate gains.","It defines the maximum number of steps an agent can take before an episode terminates.","It serves as a curiosity hyperparameter to attract the agent toward unexplored states.","It weights immediate rewards more heavily than future rewards for mathematical stability.","With 0 <= gamma < 1, the discounted return sum_t gamma^t * r_t converges and naturally down-weights rewards further in the future, reflecting the uncertainty and time-cost of delayed outcomes."
"HW10","What makes a Markov Decision Process memoryless?","Actions have no effect on transitions all steps are predetermined.","It uses infinite states and models infinite steps.","Transitions depend only on the current state, not past states.","The agent resets every step of the process.","All of the above.","Transitions depend only on the current state, not past states.","The Markov property states P(s'|s,a) is fully determined by the current state s and action a alone. The entire history of prior states and actions is irrelevant given the current state."
"HW10","How does a Deep Q-Network (DQN) solve the dimensionality problem of large state spaces?","It uses a brute-force policy search to find the needle in the gigantic game haystack.","It replaces the agent with a supervised teacher that provides the best action at each step.","It uses a deep neural network to approximate the Q-values of any state-action pair.","It reduces the number of steps in the state space to make the transition probabilities linear.","None of the Above.","It uses a deep neural network to approximate the Q-values of any state-action pair.","DQN parameterizes Q(s,a;theta) as a deep CNN, enabling generalization across similar states. Instead of storing one Q-value per state-action pair, the network learns to predict Q-values for any input state."
"HW10","How does the Curiosity Hyperparameter kappa influence an agent's behavior?","It determines the size of the window used to calculate the running average of rewards.","It scales the gradients during the backward pass to ensure the policy remains causal.","It measures how strongly the agent is attracted to unknown states based on visit counts.","It reduces the learning rate when the agent enters a state it has visited 1,000 times.","It forces the agent to strictly follow the optimal policy to maximize rewards.","It measures how strongly the agent is attracted to unknown states based on visit counts.","Kappa scales an exploration bonus inversely proportional to visit counts. A high kappa strongly drives the agent toward rarely-visited states, promoting broad exploration of the state space."
"HW10","Why is action selection in Neural Network Policies often done randomly based on probabilities?","To prevent the network from ever reaching a Nash Equilibrium during the training.","To allow the agent to explore the environment and potentially find better strategies.","Because the cross-entropy loss requires a stochastic input to calculate the gradients.","To ensure that the agent ignores the observations provided by the environment sensor.","None of the Above.","To allow the agent to explore the environment and potentially find better strategies.","Sampling actions from the policy's probability distribution (rather than always picking argmax) maintains exploration, preventing premature convergence to a suboptimal deterministic strategy."
"HW10","In the Pavlov's Dogs analogy for RL, the bell and food represent:","The objective and the reward in reinforcement learning.","The observation and the reward provided by the environment.","The exploration and the exploitation phases of the learning agent.","The policy parameters and the Q value in RL.","All of the above.","The observation and the reward provided by the environment.","In Pavlov's experiment the bell is the stimulus (observation/state) and the food is the unconditioned reward. In RL, the agent similarly learns to associate observations with expected rewards through repeated experience."
"HW10","In an RL feedback loop, what is the Observation received by the agent?","A set of hardcoded rules that define how Pavlov's dogs should react to the bell.","The target probability distribution used to calculate the cross-entropy loss function.","A scalar value that measures the success or failure of the agent's previous action.","The optimal policy parameters learned by the teacher model during the pretraining.","The new state of the environment perceived by the agent after taking an action.","The new state of the environment perceived by the agent after taking an action.","After taking an action, the environment transitions to a new state s' and returns an observation to the agent. This observation represents the agent's perceptual view of s' and drives its next decision."
"HW10","How does RL fundamentally differ from Supervised Learning?","RL requires a teacher to provide a desired label for every single input state provided.","RL maps functions from x to y but ignores the underlying structure of the data input.","RL aims to maximize cumulative future rewards through a sequence of time-dependent steps.","RL is restricted to manual feature engineering whereas supervised learning is automated.","RL relies entirely on finding underlying patterns in data without any external feedback.","RL aims to maximize cumulative future rewards through a sequence of time-dependent steps.","Supervised learning fits a static mapping from inputs to labels. RL optimizes a sequential decision-making process where actions affect future states, and the objective is long-term cumulative reward, not per-step accuracy."
"HW10","In the DQN Atari architecture, what is the primary function of the Convolutional layers?","They calculate the expected return for each possible discrete action in the game.","They apply a discount factor to the rewards before passing them to the linear layers.","They serve as a memory buffer to store the hidden states of the agent between runs.","They process high-dimensional pixel data to extract salient visual features for the agent.","All of the above.","They process high-dimensional pixel data to extract salient visual features for the agent.","The DQN stacks several frames and passes them through convolutional layers that automatically learn to extract motion, objects, and spatial structure from raw pixels, replacing hand-crafted feature engineering."
"HW10","In the Q-Loss formula for DQN training, what is the target value?","The count of previous attempts (N) scaled by the curiosity hyperparameter kappa.","The predicted Q-value for the current state-action pair Q(s, a).","The sum of all rewards obtained from time t to the end of the game episode.","The immediate reward plus the discounted maximum Q-value of the next state.","The cross-entropy between the estimated probability and the target distribution.","The immediate reward plus the discounted maximum Q-value of the next state.","The DQN loss is MSE between the network's prediction Q(s,a;theta) and the Bellman target r + gamma * max_a' Q(s',a';theta_target). The target combines immediate reward with the discounted best next-state value."
"HW10","Which choice helps reduce catastrophic forgetting in DQN?","Higher learning rates.","Removing replay buffers.","Increasing replay buffer size.","Eliminating exploration.","None of the above.","Increasing replay buffer size.","Experience replay stores past transitions and samples random mini-batches for training, breaking temporal correlations. A larger buffer retains a wider diversity of past experiences, reducing catastrophic forgetting of earlier knowledge."
"HW10","In a Markov Decision Process, the probability of transitioning from state s to state s' is:","Dependent on the entire history of actions taken by the agent since the initial state.","Fixed and depends only on the current state s and the action a taken by the agent.","Adjusted dynamically based on the cumulative reward received in the previous five steps.","Calculated by the discriminator network to distinguish real states from simulated ones.","None of the Above.","Fixed and depends only on the current state s and the action a taken by the agent.","By the Markov property, T(s'|s,a) depends only on the current state-action pair. This memoryless property is what makes MDPs mathematically tractable and underpins the Bellman optimality equations."
"HW10","What do Q-Values represent?","The discounted value of a state.","A list of the best actions for each policy.","Expected future reward from taking an action in a state.","The noise in the environment.","All of the Above.","Expected future reward from taking an action in a state.","Q(s,a) represents the expected discounted cumulative reward starting from state s, taking action a, and thereafter following the optimal policy. It quantifies the long-term value of a specific state-action pair."
"HW10","What is the definition of Environment in the context of Reinforcement Learning?","The neural network architecture that approximates the optimal policy.","The human interlocutor who provides direct feedback to the agent during trial runs.","The world in which the agent exists and operates, providing states and rewards.","The discount factor gamma that ensures the cumulative reward sum is mathematically finite.","The set of labeled state-action pairs used for supervised pretraining of the agent.","The world in which the agent exists and operates, providing states and rewards.","The environment is everything external to the agent: it receives actions, transitions to new states according to its dynamics, and emits observations and rewards that the agent uses to learn."
"HW10","In the Gridworld example, why would an agent prefer a path to a +5 reward over a +4 reward?","The agent is hardcoded to always move toward the upper-right corner of the grid.","The goal of the agent is to learn a policy that maximizes the total cumulative reward.","The +4 reward cell acts as a causal mask that prevents the agent from seeing the +5.","The discount factor gamma is set to zero, making the agent ignore any future state values.","None of the Above.","The goal of the agent is to learn a policy that maximizes the total cumulative reward.","RL agents optimize for maximum cumulative return. All else equal, a path leading to +5 yields a higher return than one leading to +4, so the optimal policy selects the higher-valued trajectory."
"HW10","Why does picking the highest-probability action every time reduce performance?","It increases variance.","It prevents rewards from being computed.","It prevents convergence.","It breaks the Bellman equation.","None of the above.","None of the above.","Always greedy action selection is not inherently harmful in the limit — the issue is premature exploitation before sufficient exploration. The answer none of the above is correct because none of the listed reasons is the primary mechanism."
"HW10","According to the textbook, why does standard Q-learning fail to scale to games like Ms. Pac-Man?","The rewards are too sparse for the agent to ever learn a meaningful policy.","Ms. Pac-Man requires a continuous action space that Q-learning is unable to handle.","The game relies on convolutional layers which were not compatible with early Q-tables.","The ghosts in the game introduce non-Markovian behavior that breaks the MDP model.","The number of possible states is so large that tracking every Q-value is impossible.","The number of possible states is so large that tracking every Q-value is impossible.","A single Atari screen has 210x160 pixels with 128 colors, yielding an astronomical number of possible states. Storing and updating a separate Q-value for every state-action pair in a table is computationally infeasible."
"HW10","What problem does experience replay help solve?","Reducing the reward variance.","Eliminating the need for exploration.","Removing terminal states.","Improving supervised labels.","None of the above.","None of the above.","Experience replay primarily addresses two problems not listed: (1) breaking temporal correlations between consecutive training samples, and (2) allowing data reuse. None of the listed options correctly describes its main function."
"HW10","Approximate Q-Learning is defined as a solution that:","Uses a lookup table to store an estimate for every single possible state-action pair.","Finds a function to estimate Q-values using a manageable number of parameters.","Replaces stochastic rewards with a deterministic sequence of terminal game states.","Uses a brute-force approach to pick action a from a haystack of k distinct levers.","All of the Above.","Finds a function to estimate Q-values using a manageable number of parameters.","Approximate Q-learning replaces the exact Q-table with a parameterized function (e.g., a neural network) that generalizes across states, making it feasible to handle enormous or continuous state spaces."
"HW10","What is the purpose of the action advantage in Dueling DQN?","Increase replay buffer diversity to provide action advantage.","Identify the most random action that provides the greatest advantage.","Prevent overfitting.","Measure whether an action is better or worse than average.","Reduce the discount factor to determine which actions have an advantage.","Measure whether an action is better or worse than average.","The advantage function A(s,a) = Q(s,a) - V(s) measures how much better or worse action a is relative to the average action in state s. Dueling DQN separates V(s) and A(s,a) to learn more efficiently."
"HW10","In Deep Reinforcement Learning, what role does a neural network often play?","Computes exact transition probabilities.","Replaces the environment model entirely.","Eliminates exploration requirements.","Removes the need for Bellman equations.","None of the above.","None of the above.","Neural networks in deep RL serve as function approximators for the policy, value function, or Q-function. None of the listed options correctly describes this role — they do not compute exact transitions, replace environments, eliminate exploration, or remove Bellman equations."
"HW10","The discount factor gamma controls:","How infrequently the agent explores.","The learning rate for Q-updates.","How much future rewards influence the return.","The stochasticity of the policy.","All of the above.","How much future rewards influence the return.","Gamma in [0,1) determines the present value of future rewards. gamma=0 makes the agent myopic (only immediate rewards matter); gamma close to 1 makes it far-sighted, valuing distant future rewards nearly as much as immediate ones."
"L7","What is a primary characteristic of Recurrent Neural Networks (RNNs) compared to standard feed-forward networks?","They only work on fixed-sized inputs","They can process sequences of arbitrary lengths","They do not require backpropagation","They lack internal memory","They are used only for static images","They can process sequences of arbitrary lengths",""
"L7","Which training method is specifically used for RNNs?","Standard Feed-forward Propagation","Backpropagation through time (BPTT)","Binary Cross-Entropy only","Gradient Ascent","Heuristic Search","Backpropagation through time (BPTT)",""
"L7","In sequence modeling, what does a 'Many to One' application typically refer to?","Image Captioning","Sentiment Classification","Machine Translation","Music Generation","Binary Classification","Sentiment Classification",""
"L7","What is the role of the 'forget gate' in an LSTM cell?","To add new memories to the long-term state","To extract information whenever it is needed","To preserve or drop information in the long-term state","To filter the output of the cell","To reset the weights of the network","To preserve or drop information in the long-term state",""
"L7","What issue occurs when gradients become extremely small as they propagate backward during training?","Gradient Explosion","Overfitting","Vanishing Gradients","Unstable Convergence","Concept Drift","Vanishing Gradients",""
"L7","Which of the following is a simplified version of the LSTM cell?","SimpleRNN","Gated Recurrent Unit (GRU)","Vanilla Neural Network","Perceptron","Feed-forward layer","Gated Recurrent Unit (GRU)",""
"L7","In an RNN, what is 'unrolling through time'?","Increasing the number of layers","Representing the network against the time axis","Removing the recurrent connections","Converting audio to text","Initializing weight matrices with zeros","Representing the network against the time axis",""
"L7","Which gate in an LSTM cell is responsible for recognizing important new input?","Forget gate","Output gate","Input gate","Activation gate","Update gate","Input gate",""
"L7","What is 'naive forecasting' in the context of time series?","Using a complex RNN for prediction","Simply copying a past value to make a forecast","Predicting values based on random noise","Ignoring seasonality","Filling in missing values manually","Simply copying a past value to make a forecast",""
"L7","Which activation function is often used to update the hidden state in a basic RNN to prevent instability?","ReLU","Softmax","Hyperbolic tangent (tanh)","Linear","Sigmoid","Hyperbolic tangent (tanh)",""
"L7","What is a 'multivariate time series'?","A series with only one variable observed over time","A series with multiple values or variables per time step","A series that lacks temporal relationships","A series used only for text generation","A series with irregular intervals","A series with multiple values or variables per time step",""
"L7","In an Encoder-Decoder network, what is the role of the Encoder?","It produces the final sequence output","It converts a sequence to a vector","It generates captions for images","It performs binary classification","It updates the weights during forward pass","It converts a sequence to a vector",""
"L7","Which design criterion is necessary for modeling sequences effectively?","Fixed-length inputs","Ignoring long-term dependencies","Sharing parameters across the sequence","Ignoring information about order","Using only feed-forward layers","Sharing parameters across the sequence",""
"L7","What does 'backpropagation through time (BPTT)' involve?","Forward pass only","A forward pass followed by evaluating a cost function and propagating gradients backward","Training layers independently","Using only the first input of a sequence","Skipping the hidden state update","A forward pass followed by evaluating a cost function and propagating gradients backward",""
"L7","How does a GRU cell differ from an LSTM regarding state vectors?","It has more state vectors","Both state vectors are merged into a single vector h(t)","It uses external memory only","It lacks a hidden state","It uses a separate cell state and hidden state","Both state vectors are merged into a single vector h(t)",""
"L7","What is the risk of using non-saturating activation functions like ReLU in deep RNNs?","They always lead to vanishing gradients","They may exacerbate instability during training","They are too slow to compute","They only work with binary data","They prevent memory formation","They may exacerbate instability during training",""
"L7","What is 'imputation' in time series analysis?","Predicting future values","Filling in missing past values","Classifying a sequence","Detecting anomalies","Removing seasonality","Filling in missing past values",""
"L7","Which component of an LSTM extracts the short-term state h(t)?","Input gate","Forget gate","Output gate","Bias term","Recurrence relation","Output gate",""
"L7","In the context of RNNs, what is a 'Memory Cell'?","A hardware component","A part of a network that preserves state across time steps","A database for storing weights","An external storage unit","A fixed-size input vector","A part of a network that preserves state across time steps",""
"L7","What can be used to mitigate the issue of exploding gradients?","Reducing the number of layers","Gradient clipping","Increasing the learning rate","Using ReLU only","Increasing the batch size","Gradient clipping",""
"L7","Why might a simple RNN with a single neuron struggle to predict values between 1.0 and 1.4?","It has no memory","The default tanh activation outputs values between -1 and +1","It cannot process numerical inputs","It lacks a bias term","It is too deep","The default tanh activation outputs values between -1 and +1",""
"L7","What is the purpose of 'Embedding' in natural language processing for NNs?","To remove punctuation","To transform words into fixed-size numerical vectors","To shuffle the word order","To count the frequency of words","To visualize the sentence structure","To transform words into fixed-size numerical vectors",""
"L7","What does a 'Vector-to-Sequence' network typically do?","Takes a sequence and outputs one vector","Takes one input vector and outputs a sequence","Takes a sequence and outputs another sequence","Updates hidden states without input","Performs sentiment analysis","Takes one input vector and outputs a sequence",""
"L7","Which of the following is NOT a challenge when processing long sequences with basic RNNs?","Loss of information over time","Vanishing gradients","Gradually forgetting early inputs","Having too much memory","Computational complexity","Having too much memory",""
"L7","What does the 'z(t)' controller in a GRU cell manage?","The output gate","Both the forget gate and the input gate","The bias initialization","The learning rate","The word embedding size","Both the forget gate and the input gate",""
"L9","What was the primary objective of the Turing Test devised by Alan Turing in 1950?","To evaluate a machine's ability to match human physical strength","To evaluate a machine's ability to match human intelligence through a linguistic task","To test a machine's ability to recognize cats in pictures","To measure the computational speed of early computers","All of the above","To evaluate a machine's ability to match human intelligence through a linguistic task",""
"L9","Which of the following is a drawback of using One-Hot Encoding for language models?","Extremely High Dimensionality","Sparse Representation containing mostly zeros","No Semantic Meaning or generalization across words","Poor Scalability for large vocabularies","All of the above","All of the above",""
"L9","In the context of NLP, what is the difference between Tokenization and Embedding?","Tokenization maps images, while embedding maps text.","Tokenization breaks strings into discrete units (IDs), while embedding maps them to a continuous vector space (meaning).","Tokenization is only for CNNs, while embedding is for RNNs.","Tokenization generates text, while embedding scores it.","All of the above","Tokenization breaks strings into discrete units (IDs), while embedding maps them to a continuous vector space (meaning).",""
"L9","Which of the following is true regarding Stateless vs. Stateful RNNs?","Stateless RNNs reset hidden states to zero after every batch.","Stateful RNNs maintain and pass hidden states to the next batch.","Stateful RNNs can capture longer dependencies across multiple batches.","Stateless RNNs assume sequences are independent.","All of the above","All of the above",""
"L9","Which sampling method dynamically adds words to a 'probability bucket' until the cumulative probability reaches a set threshold (e.g., 90%)?","Greedy Search","Top-k Sampling","Nucleus (Top-p) Sampling","Beam Search","All of the above","Nucleus (Top-p) Sampling",""
"L9","In sequence generation, what is Beam Search?","A technique that only picks the word with the absolute highest probability at each step.","A method that randomly samples characters based on temperature.","A process that keeps track of a short list of the k most promising sentences and tries to extend them by one word at a time.","A way to measure the cosine similarity between two vectors.","All of the above","A process that keeps track of a short list of the k most promising sentences and tries to extend them by one word at a time.",""
"L9","What is a major limitation of traditional Recurrent Neural Networks (RNNs)?","They suffer from an encoding bottleneck.","They are slow because they offer no parallelization.","They lack the capacity for truly long-term memory.","They struggle with vanishing gradients on long sequences.","All of the above","All of the above",""
"L9","In the self-attention mechanism, what role does the 'Query' (Q) play?","It provides the actual information to be shared.","It is the label or profile used to match against searches.","It acts as the word searching for context in its neighbors.","It is the scaling factor for the dot product.","All of the above","It acts as the word searching for context in its neighbors.",""
"L9","Why is a scaling factor used in the Attention equation?","To increase the magnitude of dot products.","To push the softmax function into regions with vanishing gradients.","To keep the training stable by preventing dot products from growing too large in high dimensions.","To reduce the dimensionality of the values vector.","All of the above","To keep the training stable by preventing dot products from growing too large in high dimensions.",""
"L9","What is the purpose of Positional Encodings in a Transformer architecture?","To randomly shuffle the input sequences to prevent overfitting.","To inject a 'sense of time' or order into the data since Transformers process tokens in parallel.","To compress the vocabulary size into a smaller dimension.","To translate English to Spanish natively.","All of the above","To inject a 'sense of time' or order into the data since Transformers process tokens in parallel.",""
